name,subtitle,acceleration,topspeed,range,efficiency,fastchargespeed,drive,numberofseats,priceingermany,priceinuk,region,address,aux_addres,latitude,longitude,type,power,brand,model,accelsec,topspeed_kmh,range_km,efficiency_whkm,fastcharge_kmh,rapidcharge,powertrain,plugtype,bodystyle,segment,seats,priceeuro,car,style,pricerange(lakhs),capacity,bootspace,basemodel,topmodel,speed_category,acceleration_class
opel corsa-e,battery electric vehicle |       45 kwh,,,,,370 km/h,front wheel drive,,"€29,000","£27,140",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
mg zs ev,battery electric vehicle |       42.5 kwh,,,,,260 km/h,front wheel drive,,"€31,990","£25,995",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
volkswagen id.3 pro,battery electric vehicle |       58 kwh,,,,,440 km/h,rear wheel drive,,"€34,995","£28,420",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
volkswagen id.3 pro s,battery electric vehicle |       77 kwh,,,,,550 km/h,rear wheel drive,,"€41,995","£38,800",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
hyundai kona electric 64 kwh,battery electric vehicle |       64 kwh,,,,,370 km/h,front wheel drive,,"€41,850","£45,000",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
renault zoe ze50 r135,battery electric vehicle |       52 kwh,,,,,230 km/h,front wheel drive,,"€33,990","£28,795",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
peugeot e-2008 suv,battery electric vehicle |       45 kwh,,,,,330 km/h,front wheel drive,,"€35,450","£30,730",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
audi e-tron 50 quattro,battery electric vehicle |       64.7 kwh,,,,,470 km/h,all wheel drive,,"€69,100","£60,600",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
porsche taycan turbo,battery electric vehicle |       83.7 kwh,,,,,840 km/h,all wheel drive,,"€153,016","£115,860",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
smart eq fortwo coupe,battery electric vehicle |       16.7 kwh,,,,,440 km/h,rear wheel drive,,"€18,460","£19,200",ndmc,between kirti mann plaza and nmc hospital sector 30 noida,"electric vehicle charger, between kirti mann plaza and nmc hospital sector 30 noida",,,dc-001,15 kw,tesla,e-soul 64 kwh,,,,,230,yes,awd,type 2 ccs,suv,c,,,audi e-tron,compact suv,,5 seater,350 l,excite,dark xz plus lux,medium,slow
